property#,owner_id,street_address,apt#,city,state,zip_code,home_type,bedrooms,bathrooms,sq_feet,lot_size,year_built,architecture,pool,property_taxes,condo_fees,when_bought,remaining_mortgage
5466,8881,30758 Murray Loaf,NULL,Morarland,Iowa,72831,house,12,3,6800,1.87,1992,gothic,N,"60,740",NULL,2015,650790
5467,3911,95873 Spinka Meadows,NULL,Luisaview,Colorado,2089,house,1,1,1100,0.3,1989,prairie,N,"9,682",NULL,2011,149841
5468,7810,17811 Hettinger Underpass,NULL,Bartontown,Rhode Island,71717,house,6,2,3700,1.02,1948,rowhouse,Y,"32,977",NULL,2013,431846
5469,3735,9727 Durgan Ville,NULL,Lake Augusta,Mississippi,77150,house,7,5,4500,1.24,1976,antebellum,Y,"40,315",NULL,2001,1103856
5470,2704,10027 Shaniya Ways,NULL,Denesikburgh,Montana,61484,house,12,6,7100,1.95,1961,federal,N,"63,610",NULL,2013,832989
5471,9691,6563 Della Cliffs,NULL,East Cordia,Virginia,16664,house,5,3,3300,0.91,2017,farmhouse,N,"29,466",NULL,1989,1227756
5472,4893,731 Korey Ville,NULL,Chula Vista,Montana,77305,house,3,1,2100,0.58,1923,saltbox,N,"18,618",NULL,1996,620585
5473,6170,11436 Cheyanne Keys,NULL,West Jammieshire,Colorado,68538,house,8,4,4900,1.35,2005,A-frame,Y,"43,826",NULL,1991,1721734
5474,9888,91820 Randall Shoals,NULL,O'Keefeport,Hawaii,25293,house,10,7,6200,1.71,1977,spanish,Y,"55,631",NULL,2013,728503
5475,4626,93289 Darwin Ways,NULL,North Jamar,Illinois,14143,house,2,1,1600,0.44,1925,cabin,N,"14,150",NULL,2012,202140
5476,1524,70031 Farrell Course,NULL,New Helena,Maryland,53666,house,9,9,5900,1.62,1970,colonial,N,"53,077",NULL,2000,1516470
5477,4564,5671 Considine Shoal,NULL,Margaritahaven,Nevada,68363,house,3,3,2300,0.63,1921,cape cod,Y,"20,531",NULL,2010,342178
5478,5320,213 Katrina Highway,NULL,Faestead,Arizona,17092,house,1,1,1100,0.3,1963,country,N,"9,682",NULL,1994,345788
5479,8583,5068 Osinski Union,NULL,Scarlettbury,Idaho,9643,house,7,7,4700,1.29,1965,victorian,Y,"42,228",NULL,1996,1407595
5480,2528,2964 Frami Greens,NULL,Stefaniestead,Indiana,93185,house,6,1,3600,0.99,1930,tudor,Y,"32,021",NULL,1992,1219840
5481,8299,5082 Champlin Dale,NULL,Fort Mariomouth,Washington,15637,house,2,2,1700,0.47,1974,craftsman,Y,"15,106",NULL,1986,683383
5482,6015,73395 Kunde Trafficway,NULL,Effieberg,New York,7328,house,3,2,2200,0.61,1964,cottage,N,"19,574",NULL,1985,908798
5483,9259,48433 Dovie Estates,NULL,Edhaven,Oregon,87618,house,9,3,5300,1.46,1923,mediterranean,Y,"47,337",NULL,1987,2085089
5484,9160,83733 Carmen Burg,NULL,New Monserrat,Virginia,98200,house,12,5,7000,1.93,1935,ranch,Y,"62,654",NULL,1999,1864688
5485,8965,692 Pagac Crescent,NULL,Port Grayceburgh,West Virginia,92396,house,8,6,5100,1.4,2011,contemporary,N,"45,739",NULL,1993,1687989
5486,7742,790 Elena Creek,NULL,Hemet,Nebraska,10708,house,2,2,1700,0.47,2017,italian,N,"15,106",NULL,2021,53951
5487,2665,6163 Reina Hollow,NULL,Fort Abdiel,Nebraska,64469,house,11,8,6800,1.87,1997,georgian,N,"61,055",NULL,2022,145370
5488,8167,335 Dashawn Mall,NULL,South Ethyl,Delaware,60080,house,1,1,1100,0.3,1956,greek,Y,"9,682",NULL,1995,334261
5489,2930,81579 Hilpert Motorway,NULL,Corenefort,Iowa,2278,house,8,2,4700,1.29,1987,french,N,"41,913",NULL,2011,648651
5490,7021,790 Casper Gateway,NULL,Fort Roscoe,Connecticut,47631,house,7,5,4500,1.24,1982,modern,N,"40,315",NULL,1986,1823763
5491,6318,9910 Wisoky Fields,NULL,Fort Eliza,Wyoming,59423,house,7,1,4100,1.13,1960,gothic,Y,"36,489",NULL,1987,1607234
5492,3427,93868 Gusikowski Underpass,NULL,West Finnburgh,North Carolina,96965,house,7,2,4200,1.16,1956,prairie,Y,"37,445",NULL,2018,267465
5493,980,374 Joesph Pike,NULL,Lake Wilfredville,Maine,8357,house,9,9,5900,1.62,1957,rowhouse,N,"53,077",NULL,2018,379118
5494,9937,954 Jordy Alley,NULL,Watersview,Idaho,72974,house,10,3,5800,1.6,1992,antebellum,N,"51,805",NULL,2021,185018
5495,1261,150 Swaniawski Stream,NULL,North Amosberg,Hawaii,54461,house,10,9,6400,1.76,1920,federal,Y,"57,544",NULL,1995,1986645
5496,6263,6089 Lehner Ridge,NULL,Kovacekside,Texas,98831,house,2,1,1600,0.44,1978,farmhouse,Y,"14,150",NULL,2017,117915
5497,6061,5101 DuBuque Walks,NULL,Bednarcester,Georgia,9997,house,7,4,4400,1.21,1982,saltbox,Y,"39,358",NULL,2005,890245
5498,1051,387 Boyle Spring,NULL,Reichelfurt,North Carolina,919,house,10,5,6000,1.65,1939,A-frame,N,"53,718",NULL,1991,2110350
5499,5521,6913 Hagenes Place,NULL,Alizeberg,Kentucky,45806,house,8,8,5300,1.46,1988,spanish,Y,"47,652",NULL,2004,1134575
5500,7713,3968 Treutel Bypass,NULL,Inglewood,Idaho,27666,house,12,12,7700,2.12,1976,cabin,N,"69,349",NULL,2015,743029
5501,4202,122 McGlynn Divide,NULL,Russelstead,California,9772,house,4,1,2600,0.72,2014,colonial,N,"23,085",NULL,2017,192378
5502,89,4923 Pfannerstill Viaduct,NULL,New Jovani,Wyoming,97055,house,2,1,1600,0.44,2016,cape cod,N,"14,150",NULL,1992,539040
5503,6927,41028 Corkery Station,NULL,Fort Dominique,Massachusetts,45107,house,5,2,3200,0.88,2022,country,Y,"28,510",NULL,2023,33940
5504,3888,291 Hoyt Lane,NULL,West Tom,Hawaii,53993,house,11,4,6400,1.76,1960,victorian,N,"57,229",NULL,2007,1158210
5505,6773,787 Mayert Corners,NULL,Temecula,Colorado,3337,house,6,3,3800,1.05,1939,tudor,Y,"33,934",NULL,2015,363578
5506,7745,67273 Yundt Mills,NULL,Aronview,Washington,34849,house,5,2,3200,0.88,2011,craftsman,Y,"28,510",NULL,1990,1153960
5507,5223,63991 Robin Drive,NULL,Elveraworth,North Dakota,63871,house,4,3,2800,0.77,1929,cottage,N,"24,998",NULL,2022,59520
5508,2944,9353 Catherine Glens,NULL,Turnercester,California,74877,house,6,2,3700,1.02,1953,mediterranean,N,"32,977",NULL,1984,1570350
5509,8743,1780 Halvorson Dale,NULL,South Berneiceton,Montana,80322,house,4,2,2700,0.74,1940,ranch,N,"24,042",NULL,1999,715531
5510,7057,813 Jast Stream,NULL,Chaddfort,Arkansas,22862,house,7,3,4300,1.18,1944,contemporary,Y,"38,402",NULL,2001,1051474
5511,5777,6810 Mossie Loop,NULL,Dale City,Hawaii,88825,house,5,1,3100,0.85,1953,italian,N,"27,553",NULL,2021,98404
5512,3704,193 Chanel Alley,NULL,West Jeanne,North Dakota,20594,house,10,10,6500,1.79,1992,georgian,N,"58,501",NULL,2022,139288
5513,9573,966 Ondricka Manors,NULL,Bauchland,North Carolina,88732,house,11,2,6200,1.71,1923,greek,N,"55,316",NULL,2022,131705
5514,6749,38404 Mertz Corners,NULL,Goodyear,Vermont,84915,house,11,6,6600,1.82,1942,french,N,"59,142",NULL,2008,1126520
5515,8329,905 Uriel Union,NULL,Mayaguez,Washington,35806,house,12,11,7600,2.09,2003,modern,N,"68,393",NULL,2014,814200
5516,8658,7819 McKenzie Underpass,NULL,Port Angel,New Hampshire,67692,house,5,1,3100,0.85,1974,gothic,N,"27,553",NULL,2007,557621
5517,9969,156 Kihn Cove,NULL,South Taliaberg,Iowa,71711,house,8,7,5200,1.43,1939,prairie,N,"46,696",NULL,1993,1723290
5518,4810,5289 Alena Burg,NULL,Port Jamarcusfield,North Dakota,55654,house,8,6,5100,1.4,1936,rowhouse,N,"45,739",NULL,2007,925671
5519,1899,616 Hagenes Prairie,NULL,New Tavaresside,Alabama,29653,house,6,6,4100,1.13,1972,antebellum,Y,"36,804",NULL,2014,438138
5520,8061,2198 Olson Loop,NULL,Dwightville,Alabama,35880,house,9,8,5800,1.6,1969,federal,N,"52,120",NULL,1999,1551188
5521,4239,90895 Blanda River,NULL,McAllen,Kentucky,4312,house,9,3,5300,1.46,2015,farmhouse,N,"47,337",NULL,2017,394476
5522,5004,760 Ruben Valley,NULL,Oakland Park,North Carolina,16297,house,5,3,3300,0.91,1987,saltbox,N,"29,466",NULL,2021,105236
5523,4697,3467 Rogers Unions,NULL,Trantowside,Idaho,44824,house,4,3,2800,0.77,1922,A-frame,Y,"24,998",NULL,1986,1130880
5524,219,848 Kyler Centers,NULL,Aloha,West Virginia,39679,house,11,7,6700,1.84,1937,spanish,N,"60,099",NULL,2009,1073194
5525,8651,416 Reynolds Mills,NULL,Davenport,Wyoming,53343,house,2,1,1600,0.44,1949,cabin,N,"14,150",NULL,2023,16845
5526,33,854 Vesta Expressway,NULL,New Reecechester,Rhode Island,86493,house,3,2,2200,0.61,1979,colonial,Y,"19,574",NULL,2013,256328
5527,2078,849 Valentin Mills,NULL,Millcreek,New Mexico,93024,house,11,10,7000,1.93,2018,cape cod,Y,"62,969",NULL,2011,974513
5528,8406,124 Tristian Harbor,NULL,Parkermouth,Oregon,15861,house,12,6,7100,1.95,2007,country,Y,"63,610",NULL,2017,530084
5529,7406,110 Aglae Mountains,NULL,Stephaniehaven,Delaware,6578,house,12,12,7700,2.12,1984,victorian,Y,"69,349",NULL,2023,82559
5530,621,53841 Anya Common,NULL,Pittsburg,Missouri,43632,house,3,3,2300,0.63,2009,tudor,Y,"20,531",NULL,1995,708796
5531,2766,39734 Schoen Villages,NULL,Redondo Beach,Connecticut,41486,house,2,1,1600,0.44,1920,craftsman,N,"14,150",NULL,2020,67380
5532,558,229 Holden Ways,NULL,Wehnerberg,South Dakota,64580,house,11,1,6100,1.68,1928,cottage,N,"54,360",NULL,2007,1100134
5533,1167,4954 Nicolas Valley,NULL,North Susanafield,Maryland,70924,house,1,1,1100,0.3,2011,mediterranean,Y,"9,682",NULL,1990,391893
5534,6808,8479 Pfeffer Court,NULL,Mayaguez,Utah,17663,house,9,4,5400,1.49,1979,ranch,Y,"48,294",NULL,2000,1379820
5535,1802,445 Macie Shores,NULL,Fort Raven,Florida,1374,house,3,3,2300,0.63,1949,contemporary,N,"20,531",NULL,1990,831003
5536,9705,67851 Piper Rest,NULL,Schuppeport,Louisiana,46815,house,7,4,4400,1.21,1931,italian,N,"39,358",NULL,1984,1874200
5537,0,74007 Crooks Cliff,NULL,Naperville,Massachusetts,88088,house,3,3,2300,0.63,1939,georgian,N,"20,531",NULL,2009,366619
5538,1570,97487 Russel Lock,NULL,Lake Johan,Indiana,9530,house,6,3,3800,1.05,1939,greek,Y,"33,934",NULL,1994,1211925
5539,823,9448 D'Amore Radial,NULL,Stammport,New Mexico,80941,house,2,2,1700,0.47,2006,french,N,"15,106",NULL,2003,377659
5540,3427,82431 Adolf Oval,NULL,Hauckstad,Oregon,51542,house,12,9,7400,2.04,1999,modern,N,"66,480",NULL,2013,870568
5541,8353,48448 Grace Village,NULL,East Genesischester,Vermont,7723,house,2,2,1700,0.47,1968,gothic,Y,"15,106",NULL,2006,323708
5542,5857,3829 Daren Square,NULL,Davenport,Alabama,88184,house,6,2,3700,1.02,2023,prairie,Y,"32,977",NULL,2004,785175
5543,8744,605 Streich Flat,NULL,Collintown,New Mexico,95494,house,8,3,4800,1.32,1979,rowhouse,N,"42,869",NULL,1997,1377945
5544,7709,16438 Martin Rue,NULL,Rosenbaumport,Pennsylvania,58586,house,5,2,3200,0.88,1944,antebellum,N,"28,510",NULL,1996,950320
5545,6159,4200 Hessel Trail,NULL,New Angelica,South Dakota,47267,house,4,3,2800,0.77,1934,federal,Y,"24,998",NULL,2020,119040
5546,1669,77473 Pauline Glens,NULL,Fisherton,North Dakota,15356,house,7,2,4200,1.16,1997,farmhouse,N,"37,445",NULL,1996,1248170
5547,1692,52072 Sipes Junction,NULL,South Kristinamouth,Wisconsin,23651,house,7,5,4500,1.24,1999,saltbox,N,"40,315",NULL,2014,479938
5548,9888,3426 Jude Drive,NULL,Silver Spring,South Dakota,18633,house,11,6,6600,1.82,1940,A-frame,Y,"59,142",NULL,1986,2675485
5549,6185,2623 Collins Curve,NULL,Tonawanda,California,50934,house,5,2,3200,0.88,1945,spanish,N,"28,510",NULL,1995,984260
5550,1771,8138 Chesley Terrace,NULL,Port Shannyworth,Wisconsin,38037,house,12,8,7300,2.01,1974,cabin,N,"65,523",NULL,2004,1560075
5551,7529,704 Christophe Points,NULL,Des Plaines,North Carolina,56184,house,9,5,5500,1.51,1954,colonial,Y,"49,250",NULL,1997,1583044
5552,9166,60173 Weber Lodge,NULL,South Jeannehaven,Wisconsin,70254,house,8,8,5300,1.46,1978,cape cod,Y,"47,652",NULL,1996,1588405
5553,208,9938 Maryse Unions,NULL,Pourosburgh,New York,74772,house,8,3,4800,1.32,1971,country,N,"42,869",NULL,1993,1582085
5554,8134,6379 Bradtke Curve,NULL,Landenstad,Kansas,9282,house,9,6,5600,1.54,1930,victorian,N,"50,207",NULL,1988,2151720
5555,2067,7091 Schowalter Groves,NULL,Heavenville,Louisiana,41564,house,4,4,2900,0.8,1994,tudor,N,"25,955",NULL,2023,30899
5556,9693,677 Sauer Manors,NULL,Fort Magnoliabury,Washington,94111,house,12,11,7600,2.09,1989,craftsman,N,"68,393",NULL,2012,977040
5557,8806,24432 Vandervort Heights,NULL,Port Terrell,Nebraska,89602,house,9,2,5200,1.43,1964,cottage,Y,"46,381",NULL,1989,1932525
5558,1937,318 Shanon Causeway,NULL,Logan,Maryland,49398,house,8,3,4800,1.32,1999,mediterranean,Y,"42,869",NULL,2008,816560
5559,7331,33044 Kunde Unions,NULL,Arlington Heights,Oregon,83400,house,7,4,4400,1.21,1993,ranch,N,"39,358",NULL,2012,562260
5560,5841,855 Legros Brook,NULL,Jaskolskiborough,Ohio,53792,house,6,6,4100,1.13,1969,contemporary,Y,"36,804",NULL,1989,1533481
5561,1303,6419 Mariano Grove,NULL,Oceanside,Oregon,31749,house,4,1,2600,0.72,1955,italian,Y,"23,085",NULL,2012,329790
5562,65,1212 Abelardo Dale,NULL,Jackiefort,Delaware,21941,house,1,1,1100,0.3,1988,georgian,N,"9,682",NULL,2002,253578
5563,7484,6196 Muller Cliff,NULL,Hamillshire,North Carolina,90919,house,5,2,3200,0.88,1964,greek,Y,"28,510",NULL,1988,1221840
5564,2836,703 Dock Forks,NULL,Nitzscheport,North Carolina,84970,house,7,5,4500,1.24,1943,french,N,"40,315",NULL,2013,527931
5565,6473,167 Hadley Hollow,NULL,Shanahanfurt,Kansas,39639,house,7,5,4500,1.24,1970,modern,Y,"40,315",NULL,2019,239969
5566,9772,156 Brakus Extensions,NULL,Buffalo Grove,Indiana,17477,house,10,10,6500,1.79,2003,gothic,Y,"58,501",NULL,1987,2576819
5567,246,8951 Lowe Vista,NULL,Nikkofield,Louisiana,48058,house,1,1,1100,0.3,1924,prairie,N,"9,682",NULL,1999,288156
5568,2627,408 Casper Ford,NULL,Irondequoit,Montana,78019,house,6,1,3600,0.99,1998,rowhouse,N,"32,021",NULL,1997,1029240
5569,3352,3714 Diana Greens,NULL,Heidenreichworth,Utah,30870,house,1,1,1100,0.3,1982,antebellum,Y,"9,682",NULL,2001,265104
5570,8455,50037 Lulu Branch,NULL,Dallinhaven,Virginia,83650,house,11,10,7000,1.93,1921,federal,Y,"62,969",NULL,2006,1349325
5571,1209,592 Murray Fall,NULL,Atascocita,South Carolina,195,house,7,5,4500,1.24,1936,farmhouse,N,"40,315",NULL,1990,1631788
5572,9704,55006 Donnelly Route,NULL,Rathbury,Florida,9978,house,2,1,1600,0.44,1934,saltbox,N,"14,150",NULL,2018,101070
5573,992,67035 Haag Canyon,NULL,Natstad,North Carolina,62994,house,1,1,1100,0.3,2007,A-frame,Y,"9,682",NULL,1999,288156
5574,7914,4005 Hilton Falls,NULL,Cuyahoga Falls,Kansas,93330,house,2,1,1600,0.44,1969,spanish,N,"14,150",NULL,2020,67380
5575,6292,560 Kelvin Port,NULL,Blairchester,Idaho,78685,house,10,1,5600,1.54,2023,cabin,N,"49,892",NULL,1986,2257010
5576,9757,9921 Mraz Wells,NULL,Auburn,Arkansas,74069,house,2,1,1600,0.44,1992,colonial,Y,"14,150",NULL,1998,437970
5577,7923,442 Douglas Flat,NULL,Loganfield,Nevada,23006,house,5,4,3400,0.94,2012,cape cod,N,"30,423",NULL,2008,579480
5578,9323,714 Timmy Overpass,NULL,Irondequoit,Montana,58921,house,11,2,6200,1.71,2004,country,Y,"55,316",NULL,2014,658525
5579,879,1560 Malvina Curve,NULL,Kasandraview,Oklahoma,23797,house,1,1,1100,0.3,1966,victorian,Y,"9,682",NULL,2000,276630
5580,5044,443 Gleason Place,NULL,Devanport,California,83497,house,8,7,5200,1.43,2016,tudor,N,"46,696",NULL,2002,1222980
5581,3491,85595 Auer Cliffs,NULL,Dibberthaven,North Dakota,69910,house,5,4,3400,0.94,1949,craftsman,N,"30,423",NULL,2019,181088
5582,3968,580 Braxton Crossroad,NULL,Emiliaberg,Minnesota,27357,house,12,7,7200,1.98,2002,cottage,N,"64,567",NULL,1995,2229085
5583,6138,366 Kuhic Drives,NULL,Port Larry,North Carolina,56124,house,5,4,3400,0.94,1979,mediterranean,Y,"30,423",NULL,1994,1086525
5584,4525,5934 Gottlieb Views,NULL,South Emie,Connecticut,32591,house,4,2,2700,0.74,1959,ranch,N,"24,042",NULL,2001,658289
5585,6645,6542 Nader Heights,NULL,West Johnnie,Ohio,92512,house,5,2,3200,0.88,1927,contemporary,N,"28,510",NULL,2012,407280
5586,8664,1433 Altenwerth Views,NULL,Stehrchester,Pennsylvania,72349,house,11,1,6100,1.68,1924,italian,N,"54,360",NULL,2003,1358989
5587,2350,93218 Arvel Pine,NULL,East Tedmouth,Delaware,49952,house,6,6,4100,1.13,1968,georgian,N,"36,804",NULL,1992,1402040
5588,9109,8410 Amira Center,NULL,Smithfort,Nebraska,51078,house,1,1,1100,0.3,1948,greek,Y,"9,682",NULL,1988,414945
5589,4728,587 Adams Tunnel,NULL,Adellaport,Idaho,82128,house,5,2,3200,0.88,1986,french,Y,"28,510",NULL,2012,407280
5590,8332,95587 Kunde Mall,NULL,Kertzmannmouth,Florida,58891,house,12,10,7500,2.06,1994,modern,N,"67,436",NULL,2009,1204219
5591,5518,442 Morissette Brooks,NULL,New Bradycester,Pennsylvania,83196,house,11,9,6900,1.9,1934,gothic,N,"62,012",NULL,2020,295295
5592,2236,49307 Zack Rapid,NULL,Goldahaven,Massachusetts,1043,house,1,1,1100,0.3,1965,prairie,N,"9,682",NULL,2022,23053
5593,656,1466 Greenholt Highway,NULL,Fort Henriette,Virginia,39961,house,1,1,1100,0.3,1985,rowhouse,Y,"9,682",NULL,2013,126789
5594,7957,5016 Johnston Valleys,NULL,West Alvertaside,Louisiana,34281,house,10,2,5700,1.57,2001,antebellum,N,"50,848",NULL,2009,908006
5595,9025,392 Ceasar Rue,NULL,New Donnybury,Arkansas,99205,house,11,5,6500,1.79,1987,federal,Y,"58,186",NULL,2016,554150
5596,976,40245 Ellsworth Viaduct,NULL,Conroe,Montana,20661,house,5,4,3400,0.94,1954,farmhouse,Y,"30,423",NULL,2022,72435
5597,9990,94506 Lenora Loop,NULL,Lancaster,South Carolina,5309,house,12,1,6600,1.82,1982,saltbox,Y,"58,827",NULL,2019,350163
5598,9173,8084 Herman Avenue,NULL,Lake Bertha,Kentucky,33898,house,4,1,2600,0.72,1965,A-frame,Y,"23,085",NULL,2013,302308
5599,1518,7624 Newell Streets,NULL,Schuliststad,South Dakota,2560,house,6,6,4100,1.13,1992,spanish,N,"36,804",NULL,2010,613393
5600,5659,412 Hattie Loaf,NULL,Royal Oak,Alabama,74662,house,1,1,1100,0.3,1983,cabin,Y,"9,682",NULL,2012,138315
5601,3946,602 Ricky Vista,NULL,Feeneyshire,Pennsylvania,5401,house,12,11,7600,2.09,1975,colonial,Y,"68,393",NULL,1992,2605440
5602,7987,58557 Grimes Islands,NULL,Fort Fabianview,Florida,29665,house,1,1,1100,0.3,1938,cape cod,N,"9,682",NULL,2004,230525
5603,8143,38233 Johnston Hills,NULL,West Reina,Kansas,155,house,4,3,2800,0.77,1963,country,N,"24,998",NULL,2013,327360
5604,8894,4398 Gayle Trail,NULL,East Ana,Rhode Island,48615,house,4,4,2900,0.8,2007,victorian,Y,"25,955",NULL,2019,154494
5605,3547,936 Bo Lock,NULL,Davistown,Indiana,74379,house,9,8,5800,1.6,1985,tudor,N,"52,120",NULL,2009,930713
5606,7843,5905 Darren Lane,NULL,North Allenmouth,Wisconsin,9092,house,9,7,5700,1.57,1933,craftsman,Y,"51,163",NULL,2007,1035449
5607,8059,14499 Gleason Drive,NULL,North Madilynbury,Iowa,45336,house,5,5,3500,0.96,1947,cottage,N,"31,379",NULL,2017,261494
5608,9218,85096 Giovanna Corner,NULL,Hammesfield,Maryland,24686,house,3,3,2300,0.63,1931,mediterranean,Y,"20,531",NULL,2014,244413
5609,6280,111 Maximo Extensions,NULL,Hammond,Missouri,58982,house,7,4,4400,1.21,2016,ranch,N,"39,358",NULL,2010,655970
5610,6043,995 Talia Alley,NULL,West Travon,California,47050,house,7,4,4400,1.21,1970,contemporary,Y,"39,358",NULL,2013,515405
5611,4210,21842 Mavis Glens,NULL,Daytonberg,Kansas,63171,house,7,6,4600,1.27,1924,italian,Y,"41,271",NULL,2009,736988
5612,680,78383 Chauncey Cape,NULL,Fritschchester,Montana,30243,house,2,2,1700,0.47,1995,georgian,N,"15,106",NULL,2012,215805
5613,5085,593 Gabe Gardens,NULL,Kuhnstad,South Carolina,33779,house,11,1,6100,1.68,1970,greek,N,"54,360",NULL,2007,1100134
5614,9015,387 Levi Route,NULL,Corona,Texas,12916,house,1,1,1100,0.3,2012,french,Y,"9,682",NULL,1995,334261
5615,4540,564 Deonte Park,NULL,Brooketown,Nevada,98244,house,12,10,7500,2.06,1936,modern,N,"67,436",NULL,1990,2729563
5616,4376,21294 Shanahan Field,NULL,South Marquisburgh,South Dakota,66339,house,4,4,2900,0.8,1974,gothic,N,"25,955",NULL,2011,401684
5617,5984,795 Roderick Dam,NULL,Spokane,Minnesota,12914,house,7,2,4200,1.16,1983,prairie,N,"37,445",NULL,2008,713240
5618,5540,2042 Mauricio Plains,NULL,Fresno,California,40605,house,2,1,1600,0.44,2008,rowhouse,N,"14,150",NULL,2009,252675
5619,8663,48853 Demond Corners,NULL,Seattle,Hawaii,95220,house,3,1,2100,0.58,1987,antebellum,N,"18,618",NULL,2022,44328
5620,3271,21081 Breitenberg Crossing,NULL,Madilynborough,Mississippi,39731,house,6,2,3700,1.02,1968,federal,N,"32,977",NULL,2016,314070
5621,1065,768 Ludwig Tunnel,NULL,New Kaylincester,Maryland,53686,house,3,1,2100,0.58,1954,farmhouse,N,"18,618",NULL,1995,642749
5622,1635,9886 Leuschke Corners,NULL,Schroederport,Connecticut,47115,house,11,6,6600,1.82,2001,saltbox,N,"59,142",NULL,2016,563260
5623,3474,59089 Enrico Shores,NULL,Altamonte Springs,Nevada,92002,house,9,2,5200,1.43,2020,A-frame,Y,"46,381",NULL,2013,607365
5624,9453,503 Ramiro Mills,NULL,Chesterfield,Minnesota,72850,house,12,8,7300,2.01,1984,spanish,N,"65,523",NULL,2001,1794086
5625,1046,78491 Brandt Creek,NULL,Sioux City,Oklahoma,94553,house,1,1,1100,0.3,1961,cabin,N,"9,682",NULL,2007,195946
5626,6359,70218 Hyatt Vista,NULL,Newark,Rhode Island,26122,house,3,2,2200,0.61,2010,colonial,Y,"19,574",NULL,1997,629168
5627,4113,66989 Cody Spurs,NULL,Tannermouth,Texas,6386,house,5,3,3300,0.91,1946,cape cod,N,"29,466",NULL,2002,771733
5628,1396,69887 Beier Way,NULL,New Natalia,New Jersey,12144,house,10,5,6000,1.65,1951,country,N,"53,718",NULL,1989,2238250
5629,2182,2178 Buford Orchard,NULL,Lake Delia,Washington,76269,house,2,1,1600,0.44,1922,victorian,Y,"14,150",NULL,2005,320055
5630,7840,591 Purdy Fall,NULL,South Lorachester,Vermont,24178,house,7,3,4300,1.18,1963,tudor,Y,"38,402",NULL,1992,1462920
5631,5206,44899 Cornell Mill,NULL,Cary,Mississippi,88011,house,1,1,1100,0.3,1948,craftsman,N,"9,682",NULL,1986,437998
5632,5767,81022 Stamm Lodge,NULL,Lake Estelleton,Montana,13906,house,3,1,2100,0.58,2016,cottage,N,"18,618",NULL,2011,288129
5633,9927,6562 Labadie Heights,NULL,East Salvatorecester,Delaware,67220,house,12,10,7500,2.06,1925,mediterranean,Y,"67,436",NULL,2007,1364781
5634,8371,7314 Kassulke Extensions,NULL,Fort Francisca,Washington,50230,house,6,1,3600,0.99,1977,ranch,Y,"32,021",NULL,1988,1372320
5635,6030,5145 Amber Place,NULL,New Jordon,Maryland,89135,house,10,7,6200,1.71,1930,contemporary,Y,"55,631",NULL,2013,728503
5636,8557,309 Cicero Island,NULL,Pascalechester,Alaska,80577,house,4,2,2700,0.74,1968,italian,N,"24,042",NULL,1985,1116229
5637,4738,43613 Grady Courts,NULL,Port Ladarius,North Dakota,86711,house,11,1,6100,1.68,1945,georgian,N,"54,360",NULL,1999,1617844
5638,6959,33176 Ondricka Knoll,NULL,Coletown,Hawaii,40068,house,6,3,3800,1.05,1920,greek,N,"33,934",NULL,2003,848348
5639,9060,943 Susanna Corners,NULL,Pfefferside,Minnesota,37462,house,3,2,2200,0.61,1989,french,N,"19,574",NULL,1988,838890
5640,2937,4237 Nikolaus Ramp,NULL,Yucaipa,Alabama,66213,house,3,2,2200,0.61,2002,modern,Y,"19,574",NULL,2005,442748
5641,3882,333 Schmeler Avenue,NULL,Wauwatosa,Alaska,47588,house,10,1,5600,1.54,1933,gothic,N,"49,892",NULL,1988,2138220
5642,3430,9081 Newton Route,NULL,Eldastad,Kentucky,40707,house,4,2,2700,0.74,2006,prairie,Y,"24,042",NULL,2005,543804
5643,8683,312 Smitham Garden,NULL,Estellahaven,Connecticut,44084,house,5,3,3300,0.91,1979,rowhouse,N,"29,466",NULL,2001,806811
5644,4394,91960 Antonietta Forks,NULL,Fort Lambert,North Dakota,79649,house,2,2,1700,0.47,2006,antebellum,N,"15,106",NULL,1998,467578
5645,2581,8091 Nia Mountain,NULL,Bloomington,Texas,89908,house,3,1,2100,0.58,1972,federal,Y,"18,618",NULL,2016,177310
5646,1893,503 Turcotte Court,NULL,Scottsdale,Wyoming,47872,house,5,3,3300,0.91,1947,farmhouse,N,"29,466",NULL,2012,420945
5647,6643,6414 Paula Run,NULL,Terryfort,Massachusetts,98012,house,4,4,2900,0.8,1955,saltbox,N,"25,955",NULL,2003,648874
5648,6762,70976 Russel Course,NULL,West Cierrahaven,Nebraska,75982,house,1,1,1100,0.3,1999,A-frame,N,"9,682",NULL,1986,437998
5649,9207,881 Madisyn Groves,NULL,Pacochaview,Idaho,27230,house,5,4,3400,0.94,1963,spanish,N,"30,423",NULL,1992,1158960
5650,1218,47500 Ellen Motorway,NULL,Alameda,Maine,1028,house,2,1,1600,0.44,1931,cabin,N,"14,150",NULL,2011,218985
5651,3245,9680 Easton Lock,NULL,South Reagan,Maine,59009,house,10,6,6100,1.68,1955,colonial,N,"54,675",NULL,2015,585799
5652,2135,171 Arturo Pines,NULL,South Lester,Massachusetts,60833,house,11,5,6500,1.79,1986,cape cod,N,"58,186",NULL,2015,623419
5653,2109,1543 Collier Forges,NULL,Johnathonport,Nevada,34329,house,11,7,6700,1.84,2017,country,N,"60,099",NULL,1996,2003295
